Marked,Sentence,Actual Triples,System Triples,Cited
Training Sentence,Cytokines and growth factors activate STAT3 through kinase-mediated tyrosine phosphorylation and dimerization.,"['Cytokines and factors', 'activate', 'STAT3']","[['Cytokines and factors', 'activate', 'STAT3']]","31462771, 2019, Fatty acids and cancer-amplified ZDHHC19 promote STAT3 activation through S-palmitoylation, Nature"
Training Sentence,"Fatty acids can directly activate STAT3 by enhancing its palmitoylation, in synergy with cytokine stimulation.","['acids', 'activate', 'STAT3']","[['acids', 'activate', 'STAT3']]","31462771, 2019, Fatty acids and cancer-amplified ZDHHC19 promote STAT3 activation through S-palmitoylation, Nature"
Training Sentence,This function activates the ATR-CHK1 checkpoint and allows the forks to restart replication.,"['function', 'activates', 'checkpoint']","[['function', 'activates', 'checkpoint']]","29670289, 2018, SAMHD1 acts at stalled replication forks to prevent interferon induction, Nature"
Training Sentence,Plant nucleotide-binding leucine-rich repeat  immune receptors activate cell death and confer disease resistance by unknown mechanisms.,"['receptors', 'activate', 'death']","[['receptors', 'activate', 'death']]","31439793, 2019, TIR domains of plant immune receptors are NAD+-cleaving enzymes that promote cell death, Science"
Training Sentence,"In cell culture, the compound activated INSR in both liver and skeletal muscle cells.","['compound', 'activated', 'INSR']","[['compound', 'activated', 'INSR']]","31378829, 2020, Non-peptidyl small molecule, adenosine, 5'-Se-methyl-5'-seleno-, 2',3'-diacetate, activates insulin receptor and attenuates hyperglycemia in type 2 diabetic Leprdb/db mice, Cell Mol Life Sci"
Training Sentence,Molecular modeling and molecular dynamics simulations of WT and mutant EGFR suggest a model in which M766T activates the kinase domain by disrupting conserved autoinhibitory interactions between M766 and hydrophobic residues in the activation segment.,"['M766T', 'activates', 'domain']","[['M766 T', 'activates', 'domain']]","27936599, 2017, Computational and Experimental Characterization of Patient Derived Mutations Reveal an Unusual Mode of Regulatory Spine Assembly and Drug Sensitivity in EGFR Kinase, Biochemistry"
Training Sentence,"However, EBER1 weakly activates PKR whereas VAI does not.","['EBER1', 'activates', 'PKR']","[['EBER1', 'activates', 'PKR']]","32176479, 2020, Regulation of Protein Kinase R by Epstein-Barr Virus EBER1 RNA, Biochemistry"
Training Sentence,We will examine the signaling mechanisms through which FGF21 can activate the AMPK pathway and then discuss the significance of the close connection between FGF21 and AMPK signaling in the control of metabolic disorders and the aging process.,"['FGF21', 'activate', 'pathway']","[['FGF21', 'activate', 'pathway']]","27678528, 2017, FGF21 activates AMPK signaling: impact on metabolic regulation and the aging process, J Mol Med (Berl)"
Training Sentence,Metformin can activate SIRT1 to participate in different biological processes and exert its anticancer effects.,"['Metformin', 'activate', 'SIRT1']","[['Metformin', 'activate', 'SIRT1']]","32286137, 2020, Metformin Activates AMPK/SIRT1/NF-κB Pathway and Induces Mitochondrial Dysfunction to Drive caspase3/GSDME-mediated Cancer Cell Pyroptosis, Cell Cycle"
Training Sentence,Our results suggest that DNA-LL37 complexes activate pDCs and monocytes towards a proinflammatory phenotype during pathogenesis of T1D.,"['complexes', 'activate', 'pDCs and monocytes']","[['complexes', 'activate', 'pDCs']]","32483133, 2020, Role of DNA-LL37 complexes in the activation of plasmacytoid dendritic cells and monocytes in subjects with type 1 diabetes, Sci Rep"
Training Sentence,These findings suggest sUA activates the NLRP3 inflammasome.,"['sUA', 'activates', 'inflammasome']","[['sUA', 'activates', 'inflammasome']]","28084303, 2017, Soluble Uric Acid Activates the NLRP3 Inflammasome, Sci Rep"
Training Sentence,PGC1α activates branched-chain amino acid  metabolism and is used for energy in the tricarboxylic acid  cycle.,"['PGC1α', 'activates', 'metabolism']","[['PGC1α', 'activates', 'metabolism']]","31963899, 2020, Regulation of Skeletal Muscle Function by Amino Acids, Nutrients"
Training Sentence,DAGs activate protein kinase C that inhibit insulin-PI3K-Akt signaling by phosphorylating serine residues on insulin receptor substrate .,"['DAGs', 'activate', 'kinase']","[['DAGs', 'activate', 'kinase C'], ['kinase C', 'inhibit', 'insulin']]","32455838, 2020, Cardio-Metabolic Effects of High-Fat Diets and Their Underlying Mechanisms-A Narrative Review, Nutrients"
Training Sentence,Ciliated preadipocytes abundantly populate perivascular compartments in fat and are activated by a high-fat diet.,"['preadipocytes', 'are activated by', 'diet']","[['preadipocytes', 'are activated by', 'diet']]","31761534, 2019, Omega-3 Fatty Acids Activate Ciliary FFAR4 to Control Adipogenesis, Cell"
Training Sentence,Here we show how lysosomal damage activates AMPK.,"['damage', 'activates', 'AMPK']","[['damage', 'activates', '']]","31995728, 2020, AMPK, a Regulator of Metabolism and Autophagy, Is Activated by Lysosomal Damage via a Novel Galectin-Directed Ubiquitin Signal Transduction System, Mol Cell"
Training Sentence,"Serum activated AKT through phosphorylation, despite the unchanged AKT expression.","['Serum', 'activated', 'AKT']","[['Serum', 'activated', 'AKT']]","30797819, 2019, Serum Promotes Vasculogenic Mimicry Through the EphA2/VE-cadherin/AKT Pathway in PC-3 Human Prostate Cancer Cells, Life Sci"
Training Sentence,"We find that T cells can inhibit the proliferation of neural stem cells in co-cultures and in vivo, in part by secreting interferon-γ.","['cells', 'inhibit', 'proliferation']","[['cells', 'inhibit', 'proliferation']]","31270459, 2019, Single-cell Analysis Reveals T Cell Infiltration in Old Neurogenic Niches, Nature"
Training Sentence,"GRF4 promotes and integrates nitrogen assimilation, carbon fixation and growth, whereas DELLA inhibits these processes.","['DELLA', 'inhibits', 'processes']",[],"30111841, 2018, Modulating plant growth-metabolism coordination for sustainable agriculture, Nature"
Training Sentence,"In previous studies, we have shown that the combination of metformin and gefitinib inhibits the growth of bladder cancer cells.","['combination', 'inhibits', 'growth']","[['combination', 'inhibits', 'growth']]","30053908, 2018, Phenformin alone or combined with gefitinib inhibits bladder cancer via AMPK and EGFR pathways, Cancer Commun (Lond)"
Training Sentence,"In response to strong ER stress, NMD is inhibited by the UPR to allow for a full-magnitude UPR response.","['NMD', 'is inhibited by', 'UPR']","[['NMD', 'is inhibited by', 'UPR']]","28503708, 2017, Stress and the nonsense-mediated RNA decay pathway, Cell Mol Life Sci"
